Id,MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,SalePrice
298,70,RL,98,9812,Blueste,7,3,1944,1966,1161,2194,2,0,3,6,3,417954
299,120,RL,47,8893,StoneBr,7,6,1887,1964,1339,1237,1,0,2,8,2,267247
300,40,RL,51,9881,NWAmes,8,6,1927,1985,1134,2009,2,0,5,7,3,394221
301,70,RL,70,18204,BrDale,8,5,1964,1977,1418,1558,1,1,2,7,2,362614
302,180,RL,77,6308,MeadowV,6,8,1922,1964,466,1416,1,0,3,8,1,260887
303,120,RL,92,7241,Edwards,5,6,1964,1995,1069,1245,1,1,3,6,2,282602
304,90,RM,80,16037,OldTown,9,6,1898,2002,1581,334,2,0,2,8,2,240960
305,45,RL,66,9000,Sawyer,6,5,1902,1960,661,1769,2,0,2,6,2,263153
306,180,RM,78,8697,NoRidge,3,6,1994,2005,1498,973,2,1,3,8,2,295036
307,20,RL,76,14639,StoneBr,6,7,1929,1980,1477,790,1,1,4,6,1,255136
308,30,RL,104,4819,StoneBr,6,5,1922,1953,555,1623,2,1,2,5,1,236551
309,20,RL,73,13785,NPkVill,8,5,1978,1984,1185,2014,1,0,2,6,2,348435
310,180,RL,62,10682,MeadowV,6,5,1983,1983,1113,651,2,0,5,6,2,229779
311,50,FV,78,12359,IDOTRR,5,6,1995,2001,979,2001,1,1,1,5,1,337475
312,50,RL,73,12284,CollgCr,9,5,1930,1976,439,1048,2,0,3,5,1,252607
313,160,RM,38,7988,Edwards,7,6,1985,1985,944,1824,2,1,3,8,2,326789
314,70,RL,69,14704,Sawyer,6,4,1991,1991,987,1789,2,1,2,9,3,288383
315,90,RM,67,8299,StoneBr,5,7,1951,1994,370,1396,2,1,3,9,2,328909
316,90,RL,59,12135,Blmngtn,5,5,1959,1969,527,1514,2,1,4,8,1,273464
317,40,RM,90,15450,Crawfor,6,5,1928,1978,679,1301,1,0,3,8,2,284654
318,40,RM,54,16015,Mitchel,3,6,1926,2007,630,1631,2,1,3,5,2,257173
319,40,RL,79,9431,BrkSide,5,3,1951,2002,1180,1627,1,0,3,8,2,267269
320,45,RL,67,12352,Gilbert,6,2,1886,1978,1414,1038,1,0,3,8,1,307919
321,80,RM,72,9062,NridgHt,6,5,1945,1972,925,821,1,0,1,5,2,243408
322,60,RH,78,20515,Edwards,5,5,1956,2006,1356,2004,2,0,3,7,2,393827
323,80,RL,43,13620,Veenker,4,8,1941,1999,1430,1602,1,1,3,6,1,250386
324,20,RL,73,10836,NAmes,5,7,1917,1970,1015,1934,1,1,2,9,1,309186
325,80,FV,115,11750,Blmngtn,7,5,2004,2004,1213,1164,2,0,4,7,2,307722
326,45,RM,38,12128,Somerst,5,3,1963,1992,960,1087,2,0,3,10,2,260229
327,160,RH,68,12246,NridgHt,1,5,1908,1959,600,994,1,1,5,5,3,129865
328,20,RM,92,9540,OldTown,6,6,1993,1993,751,1409,2,1,2,4,2,240943
329,80,RL,76,8922,NAmes,9,5,1958,1961,1180,1616,1,1,4,10,2,422993
330,45,RL,83,9892,Veenker,6,4,1902,1979,1001,1228,2,1,3,5,1,203258
331,60,RL,22,5941,BrkSide,4,5,1985,2000,1344,2282,2,1,5,6,3,370561
332,80,RL,81,13373,MeadowV,5,6,1980,1982,295,1178,2,0,4,7,2,331708
333,45,RL,54,7293,Veenker,7,5,1887,1967,391,1624,2,1,5,9,2,300464
334,40,RL,76,6260,CollgCr,5,7,1965,1965,438,1058,1,1,5,6,1,294574
335,90,RM,69,10442,Sawyer,6,5,1996,1996,1116,1163,1,1,0,4,0,287704
336,40,RL,115,9979,Veenker,5,4,1908,1970,498,1456,2,0,3,7,2,255304
337,90,RL,80,11498,NAmes,4,5,1881,1950,1178,1083,1,1,2,7,1,227193
338,190,RL,67,8227,BrDale,7,5,1992,1998,1351,1544,2,0,3,6,1,304526
339,30,RL,39,8929,OldTown,7,2,1944,1992,1656,1720,1,0,5,9,1,312025
340,30,RL,72,13268,Mitchel,6,4,1987,2001,1612,2046,1,1,1,8,1,306114
341,30,RL,86,13024,Blmngtn,5,5,1899,2009,771,960,2,0,3,8,2,238995
342,60,RL,68,12858,CollgCr,4,4,1916,1964,382,1583,1,0,3,5,2,313527
343,40,RL,59,10635,MeadowV,6,5,1951,1985,797,1469,1,1,2,7,1,326362
344,190,RL,58,11175,Somerst,6,9,1906,1996,1440,575,1,1,2,10,2,247401
345,90,RL,80,11421,NAmes,4,5,2002,2003,894,935,2,1,2,7,2,254078
346,45,RL,85,7875,OldTown,3,6,1924,1971,1040,1737,1,0,2,5,3,257197
347,20,RM,97,16396,SawyerW,4,5,1962,1981,827,823,1,1,3,12,2,262631
348,45,RL,50,15826,StoneBr,10,5,1999,2007,1682,1463,1,0,3,7,2,282975
349,20,FV,80,13676,CollgCr,7,2,1944,1995,644,438,1,1,1,8,1,285269
350,50,RH,67,8796,NridgHt,8,5,1904,2003,1076,1448,1,0,5,5,2,281634
351,45,RL,68,12656,ClearCr,4,5,1906,1982,1493,473,2,1,3,7,2,194137
352,80,RL,78,14413,CollgCr,9,4,1985,2007,1786,1197,2,0,3,9,2,282063
353,80,RL,78,5607,OldTown,4,6,1923,1990,772,1281,1,2,2,7,2,237605
354,70,RL,80,17278,Mitchel,6,5,1986,2008,1434,1561,2,0,3,6,2,278407
355,40,RL,48,3542,Timber,7,5,1915,1988,797,1373,2,1,3,5,3,342285
356,20,RL,55,13318,OldTown,5,4,1885,1972,1600,882,1,0,3,6,3,278081
357,20,RL,99,16313,Blueste,5,5,1888,1992,1741,891,1,1,3,6,2,222048
358,180,RL,65,10047,Sawyer,4,6,1892,2004,694,692,2,0,2,7,1,157433
359,160,RL,76,9898,Veenker,4,5,1920,1951,1311,1603,2,0,4,5,1,230891
360,40,RL,91,13170,BrkSide,6,5,2007,2007,1495,1581,1,1,3,5,2,272210
361,60,RL,79,17907,SWISU,6,5,1945,1987,932,1834,1,1,3,6,1,279592
362,70,RL,80,9375,BrDale,7,4,1964,2004,1269,1249,1,0,5,6,2,260913
363,60,RL,87,7376,Crawfor,6,6,1903,2000,1290,632,1,0,3,7,2,279777
364,60,C (all),27,8804,Gilbert,6,6,1923,1978,1853,1342,2,1,3,7,2,275723
365,60,RL,60,4289,NWAmes,2,4,1985,2001,261,1505,2,1,3,9,2,229878
366,190,RL,79,14091,MeadowV,4,3,1977,1995,1027,917,2,0,2,6,3,261722
367,40,RL,97,8443,NPkVill,9,6,1939,2009,549,965,1,1,6,7,1,199530
368,60,RL,71,9666,Blmngtn,3,5,1888,1952,1055,1725,1,1,3,6,2,269143
369,80,RH,53,14138,ClearCr,6,4,2009,2009,736,1550,1,0,3,3,2,218079
370,160,RL,53,8992,Gilbert,4,6,1935,1956,948,2066,2,0,4,7,3,256413
371,160,RL,87,13536,Blueste,6,5,1901,1985,700,2361,2,1,3,8,2,346593
372,30,RM,65,6347,Crawfor,6,5,1960,1978,1112,748,1,1,3,4,2,255190
373,50,RH,69,14334,BrDale,5,5,1979,2004,1479,1290,1,1,4,3,3,275304
374,20,FV,82,11867,IDOTRR,5,6,1892,1986,900,1561,2,0,2,8,2,190650
375,180,RL,20,10145,SWISU,6,5,1950,1998,1622,1681,2,0,2,7,2,360710
376,20,RL,110,11023,Veenker,5,9,1895,2007,1467,2007,1,0,2,6,2,322085
377,50,RL,55,5352,IDOTRR,4,6,1924,1985,1863,1864,1,1,4,7,0,241597
378,180,RL,74,10932,Blmngtn,7,4,1944,1972,1214,2069,1,0,2,10,2,289262
379,190,RL,35,9933,NridgHt,4,5,1949,1994,1025,1530,2,0,3,6,2,298548
380,40,RL,61,5462,Edwards,7,5,1978,1978,415,1185,2,0,2,6,2,284491
381,45,RL,94,7815,OldTown,6,5,1980,1997,737,2474,2,0,3,5,0,253256
382,40,RL,31,9983,NWAmes,4,7,1984,1984,966,1576,2,0,3,8,2,237266
383,20,RL,92,8070,NridgHt,6,6,1973,1983,1014,1379,3,0,5,6,2,368499
384,20,RM,64,1300,Crawfor,6,3,1921,1999,1989,963,1,1,3,11,2,323054
385,180,FV,79,14805,Timber,5,6,1962,1962,967,1579,1,0,3,8,3,287279
386,180,RL,83,9931,IDOTRR,5,1,1984,1984,342,2002,1,0,3,6,1,277096
387,190,RL,78,1404,Somerst,5,6,1907,2007,1315,1249,1,0,3,5,2,174179
388,50,RM,52,19039,OldTown,5,6,1905,1989,1292,1433,2,0,4,7,2,320018
389,60,RL,62,15465,Blmngtn,4,5,1995,1995,866,1624,2,0,3,6,2,250132
390,40,RM,40,9104,Mitchel,5,5,1928,2005,1901,1736,2,0,3,9,2,269857
391,180,RL,79,7130,OldTown,5,7,1880,2005,291,1370,1,0,5,6,1,243725
392,90,RL,104,12112,Veenker,6,7,1971,1971,1549,1303,1,1,3,6,2,268333
393,50,RH,33,11309,MeadowV,6,5,1937,1997,933,1244,1,0,2,7,2,194578
394,80,RL,54,12668,NAmes,6,5,1958,1998,669,946,2,0,2,5,1,252311
395,190,RL,66,7141,Timber,7,5,1960,1966,2010,1114,1,1,6,7,2,241516
396,20,RM,73,14891,CollgCr,7,1,1905,1993,1344,1101,1,0,3,4,2,278397
397,50,RL,87,8606,MeadowV,6,4,1956,1959,930,728,1,1,3,7,2,254723
398,40,RL,66,13223,IDOTRR,6,4,1951,1969,922,1996,3,0,4,7,2,298652
399,180,RH,63,7312,ClearCr,5,5,1948,1955,1160,1679,2,0,3,7,2,274028
400,20,RL,92,21092,Blmngtn,8,5,1885,1957,865,1571,2,0,3,7,4,398579
401,45,RM,83,13282,Edwards,2,10,1902,1994,1569,2152,2,2,3,4,3,345532
402,190,RL,80,22036,BrkSide,5,6,1933,1983,1085,1858,2,0,3,6,1,241756
403,50,RL,72,13810,CollgCr,6,3,1966,1981,1457,1105,1,0,3,6,3,265662
404,70,RL,89,8254,Timber,4,5,1890,2000,1133,2086,1,0,1,6,2,257987
405,20,RL,56,13817,SawyerW,4,5,1890,2003,1397,1986,2,0,2,10,1,271851
406,40,FV,54,14102,NPkVill,6,4,1956,1991,1588,941,2,1,3,5,2,271218
407,30,FV,84,11993,NPkVill,6,8,1891,1953,1722,1951,1,0,4,7,3,416460
408,90,RL,37,13021,Mitchel,7,5,1932,1993,1246,1266,1,1,3,6,3,293993
409,120,RM,71,13546,Sawyer,7,10,1978,1999,703,1998,2,0,4,7,1,266810
410,60,RL,63,6525,Somerst,4,5,1915,1988,980,1331,1,1,3,8,2,218471
411,120,RL,41,6240,SWISU,2,6,1907,1969,1039,1233,2,0,4,5,2,215831
412,40,RL,51,7323,StoneBr,6,4,1981,1981,820,1284,1,1,2,8,2,264797
413,80,RL,67,11010,Blueste,5,5,1886,1973,753,1013,1,0,3,5,2,235065
414,80,RL,90,9607,SawyerW,6,5,1894,2004,1119,759,1,1,3,7,2,229393
415,30,RM,56,6597,CollgCr,4,7,1903,1975,656,334,2,1,2,8,1,180333
416,60,RL,94,13601,ClearCr,5,7,1909,1974,579,972,2,0,3,5,2,218695
417,70,RL,71,11632,Blueste,6,7,1945,1985,372,2815,1,1,4,8,1,268958
418,30,RL,96,11175,MeadowV,6,6,1940,1956,1242,1739,2,1,3,5,2,289041
419,160,RL,57,9468,IDOTRR,6,7,1957,1959,1186,2432,1,1,4,8,1,445776
420,120,RL,69,8987,OldTown,6,5,1920,2007,920,1340,1,0,3,7,2,319237
421,30,RL,77,7134,Sawyer,5,5,1961,1996,1447,1265,2,0,3,7,2,226408
422,120,RL,66,14234,BrkSide,3,6,1930,1961,650,2358,1,1,3,9,2,347332
423,20,RL,89,7686,Timber,4,6,1974,1974,1202,1687,2,0,2,6,2,283354
424,80,RL,25,11337,BrkSide,5,6,1892,2001,1071,1022,2,0,3,6,1,209202
425,20,RL,118,17148,Crawfor,5,5,1969,1999,753,1816,2,1,3,9,3,282798
426,90,RL,87,9170,NridgHt,6,4,1961,1974,852,2125,2,0,4,5,2,321350
427,160,RL,66,14342,NAmes,5,8,1888,1965,822,786,2,0,3,7,2,249368
428,60,RM,58,12774,Sawyer,6,5,1927,1954,1151,1732,1,0,3,9,1,297433
429,70,RL,52,11745,Blueste,7,4,1928,1968,1287,819,1,1,1,7,1,271170
430,190,RL,82,12221,Timber,5,7,1932,1953,879,2098,1,1,5,5,3,362970
431,120,RL,89,10120,Timber,4,8,1919,1955,765,1615,2,1,3,5,2,234634
432,70,RL,66,10639,Blueste,4,4,1986,1986,1104,1814,1,1,4,6,2,296977
433,120,RL,92,8307,NridgHt,6,7,1903,1998,389,1391,1,0,3,6,1,258757
434,40,RL,51,10665,Blmngtn,5,8,1987,1988,1063,609,2,0,3,5,2,236469
435,30,RL,48,8159,NoRidge,4,8,1912,2005,1674,1279,2,0,3,8,3,286947
436,90,RL,106,14522,NWAmes,6,8,1902,2004,768,1964,2,0,3,6,1,255863
437,80,RL,81,3702,NPkVill,4,5,1956,1988,979,2496,2,0,3,9,2,357691
438,190,RL,97,12424,IDOTRR,6,5,1933,1958,1459,1641,1,1,3,8,3,288486
439,180,RL,52,11846,NWAmes,6,1,1932,1994,1351,1156,2,1,3,9,2,293231
440,120,RL,51,11484,SWISU,7,3,1928,2001,1074,1767,1,0,4,6,1,313598
441,70,RL,62,14597,OldTown,3,5,1957,1963,1026,1919,1,2,2,7,2,239254
442,90,RM,53,9355,CollgCr,8,5,1959,1997,555,1566,2,1,3,6,1,371245
443,45,RL,84,11521,SWISU,6,5,1981,2004,1246,1535,2,1,2,6,3,392341
444,190,RH,54,3633,Blmngtn,4,5,2001,2001,512,1606,2,0,2,7,2,222268
445,45,RL,46,8838,NoRidge,4,4,1982,1982,223,1521,2,0,3,8,3,280807
446,20,RM,72,13922,NAmes,5,7,1969,1986,1453,1648,2,0,2,5,0,271937
447,80,RL,44,5143,SWISU,7,5,1969,1999,1204,2413,1,0,3,6,2,325082
448,180,RL,34,11138,Crawfor,7,6,2000,2002,1401,483,2,0,2,5,1,271833
449,40,RM,72,7789,SawyerW,6,5,1939,1969,755,1380,2,1,3,8,2,304162
450,70,RL,35,10056,ClearCr,7,3,2001,2001,1236,1033,3,0,2,9,1,289935
451,180,RL,85,8029,Somerst,1,8,1909,1981,874,2090,1,0,2,5,2,219321
452,30,RL,42,5511,NridgHt,3,5,2009,2009,919,1429,1,0,4,6,2,296213
453,30,RL,25,12044,BrDale,8,5,1962,1970,1439,1779,2,1,3,9,1,406520
454,70,RL,64,10301,NoRidge,7,4,1990,2006,990,2213,1,0,4,6,2,312725
455,60,RL,72,12950,ClearCr,5,5,1987,1990,771,959,2,0,1,8,3,255714
456,40,RL,79,13677,Edwards,7,2,1990,1990,503,1236,1,2,3,5,4,228999
457,90,RL,73,15401,NWAmes,8,5,1904,1978,1194,2162,1,0,3,6,1,382073
458,120,RM,48,11033,Blmngtn,7,5,1929,2007,1473,939,2,1,2,7,3,348507
459,190,RL,84,15574,NridgHt,7,7,1893,1980,736,1253,1,0,3,8,1,273705
460,60,C (all),89,6596,SWISU,7,6,1955,2003,1325,699,2,0,3,6,2,226542
461,120,RL,45,14135,CollgCr,4,4,1963,1963,672,2181,1,0,3,6,3,368607
462,120,RL,66,12337,NWAmes,7,4,1966,1966,1349,1209,1,1,3,6,2,390279
463,60,RL,64,11432,NAmes,4,5,1909,1992,1063,1675,1,1,3,7,3,252336
464,20,RL,74,12278,NWAmes,8,5,1937,1978,1157,1837,2,0,3,9,2,359672
465,45,RM,65,6657,BrDale,5,2,1973,1991,771,1098,1,0,3,8,1,266167
466,120,RL,68,5713,NWAmes,6,7,1920,1952,1193,547,2,0,4,4,2,261497
467,60,RM,82,17339,Sawyer,6,2,1973,1973,810,1390,2,1,3,9,2,281369
468,60,RL,47,9825,Edwards,4,7,1936,1993,884,1382,2,0,3,5,2,309459
469,160,RL,84,9768,OldTown,5,4,1943,2004,442,1469,2,0,3,6,1,184915
470,180,RL,92,6090,BrkSide,9,9,1977,1977,741,1472,1,0,3,8,2,251302
471,50,RL,102,4572,BrkSide,9,6,1895,1996,839,1250,1,0,3,5,3,311186
472,20,RL,27,10146,Veenker,5,6,1967,1970,1175,1231,2,1,1,4,3,347369
473,80,RL,66,9133,SawyerW,10,4,1957,1995,1288,1648,1,1,3,6,2,428117
474,50,RL,30,10506,SawyerW,7,7,1969,2007,806,1088,2,0,3,8,2,214812
475,180,RL,21,10848,BrDale,6,7,1951,1980,984,1452,2,0,3,7,2,404531
476,180,RL,72,20457,BrDale,3,6,1893,1956,1724,1218,1,0,3,6,2,255959
477,180,RL,62,9145,NoRidge,8,5,1910,1966,1102,1647,2,0,3,8,3,272671
478,50,RL,75,16819,Blueste,6,6,1945,2005,835,2054,2,1,4,8,1,296860
479,70,RL,79,17068,SWISU,7,1,1991,1991,378,2074,1,0,3,8,2,369411
480,45,RL,94,13514,NAmes,7,6,1947,1988,708,2144,2,0,3,6,3,400977
481,60,RL,71,9559,Timber,7,7,1934,2009,692,1332,1,0,3,4,3,286951
482,190,RL,128,5054,Veenker,6,5,2002,2002,1841,1374,2,1,2,5,2,339887
483,45,RL,76,12411,SawyerW,5,4,1904,1979,710,865,2,0,5,8,1,204769
484,40,RL,106,14575,Gilbert,5,5,1948,1984,1070,1328,2,1,3,8,2,261134
485,70,RM,23,17490,MeadowV,5,6,1981,2007,1198,1346,2,1,3,10,2,305085
486,80,RL,96,6700,OldTown,2,4,1997,2006,1492,1191,2,1,3,5,2,284161
487,45,RL,66,9525,MeadowV,6,5,1905,1978,1053,1189,2,1,2,5,2,217285
488,190,RL,31,6724,CollgCr,6,4,1919,1999,845,651,2,0,4,5,1,211309
489,30,RL,78,7966,ClearCr,7,7,1917,2001,819,829,2,0,3,5,0,211566
490,180,RL,63,13157,Sawyer,4,3,1886,2003,1192,1522,2,1,3,7,2,212768
491,120,RL,81,7782,NAmes,6,6,1999,1999,776,1541,2,1,1,10,1,237063
492,40,RM,90,7202,Mitchel,1,5,1914,1984,608,1741,2,1,3,7,1,196527
493,20,RL,40,13687,BrkSide,4,6,1957,1977,845,1370,2,1,2,7,2,206506
494,80,RL,90,12302,BrDale,3,9,1917,2007,520,1505,2,0,3,7,2,184133
495,40,RL,70,11900,OldTown,6,4,1907,1979,1790,2125,1,0,3,5,1,317205
496,180,RL,97,7888,Edwards,4,5,1979,1979,1288,1473,2,2,2,8,1,221336
497,120,RL,65,15672,IDOTRR,6,7,1917,1956,1698,1183,2,1,3,7,3,315788
498,70,RL,60,10557,Blueste,5,5,2003,2003,1244,904,2,0,3,5,1,228913
499,120,RL,70,20020,SawyerW,7,5,1971,1980,1659,1898,1,0,4,7,2,285120
500,50,FV,72,11144,BrDale,7,7,1976,1976,1196,648,2,0,3,7,2,358418
501,120,RL,56,1300,NPkVill,8,9,1885,1984,1340,1080,1,0,3,5,3,204433
502,50,RL,60,1300,SawyerW,8,5,2006,2006,196,1709,1,0,3,6,2,355545
503,70,RL,45,12995,Mitchel,8,5,1894,1996,684,546,2,1,4,6,1,245464
504,90,RL,61,15701,Edwards,7,5,1987,2001,1064,1192,2,0,3,6,0,253965
505,180,RL,83,7364,NridgHt,6,4,1922,1963,1074,1564,1,1,3,6,2,247611
506,50,RL,67,18903,Blmngtn,4,6,1926,1985,1019,1308,2,1,1,7,2,304376
507,20,RM,90,17151,Mitchel,5,6,1978,1978,1231,1008,1,1,3,7,2,338836
508,120,RL,66,11342,SawyerW,4,7,1893,1973,1247,1203,0,1,4,7,1,216241
509,120,RL,41,12657,NridgHt,6,2,1994,1994,1396,1908,1,0,3,10,2,307952
510,20,RM,81,14078,Blueste,6,5,1881,1978,1317,2415,2,1,2,7,2,388837
511,30,RL,56,18059,StoneBr,7,5,1914,2002,1531,1569,1,0,3,7,2,302437
512,60,RL,65,13228,Crawfor,8,5,1889,1994,1534,505,1,1,2,8,1,277964
513,90,RL,94,11251,MeadowV,5,7,1991,1991,1119,1784,2,0,5,7,2,323907
514,80,C (all),46,13189,NWAmes,6,5,1900,1957,1882,1301,1,1,3,5,1,283593
515,190,RL,73,12649,NWAmes,9,6,1894,1964,1593,952,2,0,3,6,2,315576
516,50,RL,69,14197,Somerst,5,6,1991,1998,727,1099,2,0,3,8,2,263284
517,20,RL,84,4219,Crawfor,7,8,2005,2005,1207,1121,2,0,4,8,3,257594
518,190,RL,87,11763,SawyerW,4,6,1964,2001,312,794,1,1,4,11,2,179455
519,70,RL,75,12341,NWAmes,6,7,1964,1964,380,1468,2,0,1,7,2,278047
520,50,RL,62,10208,Mitchel,5,5,1884,1960,850,2414,2,0,5,9,1,274031
521,60,RL,79,13636,BrDale,8,5,1996,1996,699,950,1,1,4,4,1,391577
522,190,RL,96,18184,Gilbert,6,5,1951,1991,852,2398,1,0,3,7,0,317847
523,70,RL,69,11052,Blmngtn,4,5,1953,1998,1181,1604,1,0,4,9,1,190916
524,40,RL,64,13266,OldTown,4,6,1930,1979,1540,1453,1,0,3,6,1,148010
525,180,RL,77,16925,Timber,6,6,1903,1964,1518,1339,2,0,3,5,3,329967
526,120,RL,70,11146,ClearCr,9,5,1917,1955,1215,1096,2,1,2,6,2,315680
527,40,RL,43,6946,CollgCr,7,5,1923,2004,615,1645,1,0,3,8,1,343579
528,50,RL,74,12963,IDOTRR,6,4,1954,2002,827,1760,1,2,1,5,1,258742
529,60,RL,43,1693,Timber,5,6,1974,1974,1304,334,3,0,4,7,2,217287
530,90,RH,77,1306,Sawyer,6,6,1902,1996,719,2771,1,1,5,5,2,352546
531,190,RL,54,11832,NAmes,7,6,2003,2003,543,594,2,1,3,6,1,233011
532,180,RL,70,1300,Edwards,7,5,1965,1965,1246,1238,1,1,3,10,2,286861
533,50,RL,77,5239,IDOTRR,5,5,1922,1992,1030,334,2,0,3,5,3,235816
534,20,RL,119,8979,Edwards,6,6,1919,2008,965,1366,2,0,3,4,2,237876
535,45,RL,84,7614,OldTown,6,6,1926,1983,1493,1269,1,0,3,6,2,306587
536,50,RL,97,9908,BrDale,8,5,1899,1976,1485,1244,1,1,3,7,2,390909
537,180,RL,107,14951,Sawyer,8,6,1988,1988,1762,1652,2,0,2,6,0,418570
538,120,RL,79,11453,Timber,7,5,1947,1985,789,1378,2,1,2,7,1,202592
539,120,FV,75,7142,Gilbert,6,6,1903,1976,1221,1769,1,0,3,10,2,276593
540,50,RL,48,15917,ClearCr,5,7,1915,1958,1057,881,2,0,3,6,2,242284
541,70,RL,67,4784,Edwards,7,6,1924,1954,1185,1538,1,0,4,6,2,362200
542,45,RL,55,11387,Timber,5,5,2009,2009,596,1184,2,0,3,7,1,251475
543,20,RL,61,4339,Edwards,5,5,1907,1971,489,1314,2,1,1,7,3,294820
544,50,RL,107,11509,StoneBr,5,6,1902,1980,1033,1635,1,0,3,3,2,243173
545,70,RL,72,9225,SWISU,7,6,1970,1970,712,1247,1,0,3,7,2,296942
546,120,RH,52,14828,SWISU,4,5,1982,1982,1425,1447,1,0,3,12,3,297789
547,120,RL,97,13382,OldTown,5,6,1917,1970,449,922,2,1,3,6,2,259246
548,60,RL,89,8151,Somerst,6,4,1973,1984,482,2047,1,0,3,7,2,347299
549,50,RH,90,7384,Somerst,3,8,1932,1955,883,1864,1,0,3,3,2,280741
550,45,RL,29,9239,NPkVill,4,7,1917,1977,434,1549,3,1,1,7,3,276906
551,30,RL,108,18002,BrkSide,7,5,1922,1981,1720,1378,1,0,3,6,1,246214
552,45,RL,58,16976,NoRidge,7,5,1982,1991,976,1447,2,0,2,7,3,306182
553,120,RM,85,6626,NAmes,5,3,1993,1993,808,2037,1,0,2,7,1,249577
554,120,RM,120,13700,NAmes,7,3,1883,1974,1237,1828,1,1,2,5,2,282561
555,40,RM,113,3574,BrDale,7,5,1884,1981,1403,2045,1,1,2,8,2,321755
556,120,RL,50,8710,Timber,5,6,1947,1984,1132,1329,2,1,5,7,1,168993
557,20,RM,41,6789,MeadowV,7,7,2002,2002,1022,1741,2,1,2,6,1,309292
558,80,FV,98,14777,BrkSide,9,5,1959,1973,656,2094,2,1,2,9,2,313888
559,50,RL,72,5337,NWAmes,5,5,1890,1988,1302,1036,1,0,4,4,2,204538
560,190,FV,59,12217,Sawyer,5,5,1999,2003,1616,1005,1,0,3,8,1,266330
561,45,RM,82,10502,Edwards,8,4,1905,1979,962,1637,2,0,3,6,1,286174
562,80,RL,66,9798,NAmes,6,4,1915,1999,710,882,1,0,3,7,2,248940
563,70,RL,84,17186,Blueste,4,6,2001,2001,1122,592,1,1,3,6,2,198967
564,30,RL,71,17538,NWAmes,6,8,1938,1980,1051,2087,1,1,3,6,2,309541
565,20,RL,84,9922,Gilbert,6,5,1975,1975,563,2174,2,0,2,4,3,445490
566,180,RL,52,9116,MeadowV,7,6,1885,1989,848,909,2,0,4,8,2,274935
567,160,RL,98,4472,Somerst,6,8,1977,1982,1765,784,1,1,2,8,0,223048
568,45,RM,83,10482,NAmes,5,4,1935,1974,510,1173,1,0,2,7,2,279656
569,80,C (all),82,18313,NridgHt,6,6,1973,1985,773,2126,2,0,3,9,2,392746
570,180,RM,47,9985,ClearCr,6,6,1906,1973,670,1294,2,1,3,9,1,268603
571,30,RL,103,13415,Crawfor,5,6,1999,1999,705,1547,1,0,3,7,2,242775
572,40,RL,69,4910,Veenker,6,5,1904,2007,871,1662,2,1,4,7,2,326087
573,180,RL,84,8760,Somerst,7,6,1965,1988,1229,1586,1,1,4,4,3,297860
574,20,RL,63,12349,SWISU,2,7,1891,1995,1573,2247,1,0,3,8,2,328287
575,20,RM,75,10923,Blmngtn,6,4,1966,1966,1131,1140,0,0,2,8,2,263934
576,190,FV,75,13798,Blueste,5,5,1988,1988,776,1448,1,1,5,4,2,258219
577,40,RL,20,8089,Mitchel,5,4,1968,1972,1665,1616,1,0,3,7,2,325124
578,160,FV,81,3500,Gilbert,5,7,1889,1967,222,1475,2,0,2,9,2,284209
579,50,RM,109,14988,Edwards,5,5,1953,1981,1319,890,1,1,3,5,2,336260
580,180,RL,80,6755,OldTown,7,7,1956,1982,639,763,1,0,3,6,2,252353
581,40,RM,50,12526,Blueste,5,5,1933,1985,1029,753,1,0,2,6,3,223266
582,20,RL,82,12303,ClearCr,7,4,1981,1981,1275,1863,2,0,3,6,1,285794
583,20,RL,91,3844,Blmngtn,4,3,1980,1980,407,1089,2,0,4,4,1,164958
584,80,RL,80,14696,NridgHt,8,5,1952,1965,1106,1734,1,0,2,6,2,282706
585,120,RL,68,8233,Sawyer,6,5,1951,1967,1137,1543,1,0,3,6,2,303537
586,160,RL,65,10720,SWISU,6,5,1933,1957,1634,1012,1,0,3,9,1,307246
587,180,RL,65,9067,Blueste,5,2,1882,1991,2136,1025,1,0,3,6,1,221171
588,190,RL,83,16990,NAmes,5,5,1990,1990,428,1567,1,2,2,6,2,297434
589,190,RL,41,15873,NPkVill,4,5,1975,2004,1616,1538,2,1,3,6,2,245602
590,180,RL,62,3250,Somerst,8,5,1950,2005,1034,1746,2,0,3,5,2,294286
591,30,RL,101,19535,ClearCr,6,6,1898,1960,726,1271,2,0,4,12,0,197537
592,190,RL,102,7786,Mitchel,6,6,1913,1955,1197,1076,1,1,5,8,3,325967
593,40,RL,40,18909,BrDale,7,9,1929,1950,529,1554,1,1,4,7,2,355088
594,30,RL,47,9475,BrkSide,5,4,1925,1961,552,2209,2,1,2,7,1,251207
595,40,RL,64,9136,Edwards,6,5,1962,2006,355,561,2,1,1,7,2,191457
596,70,RL,87,9510,Blmngtn,6,5,1930,1987,1268,1100,1,0,3,6,2,293617
597,20,RL,33,8896,IDOTRR,6,5,1933,1977,1180,1795,2,0,3,4,0,358527
598,120,RM,68,20597,Blmngtn,6,6,1969,1994,724,1608,1,1,5,6,2,357671
